Species,Genus,Genome_id
Citrobacter sp. MGH109,Citrobacter,1686382.3
Citrobacter sp. MGH110,Citrobacter,1686383.3
Citrobacter sp. MGH99,Citrobacter,1686376.3
Citrobacter sp. Tue2-1,Citrobacter,1748967.3
Citrobacter werkmanii,Citrobacter,67827.33
Citrobacter youngae,Citrobacter,500640.5
Cloacibacterium normanense,Cloacibacterium,237258.24
Clostridia bacterium,,2044939.29
Clostridiaceae bacterium,,1898204.3
Clostridiaceae bacterium AF02-42,,2305246.3
Clostridiaceae bacterium AF18-31LB,,2292182.3
Clostridiaceae bacterium AF29-16BH,,2292179.3
Clostridiaceae bacterium AF31-3BH,,2291989.3
Clostridiaceae bacterium AF42-6,,2291990.3
Clostridiaceae bacterium AM27-36LB,,2292288.3
Clostridiaceae bacterium OF09-1,,2292276.3
Clostridiaceae bacterium OM02-2AC,,2292275.3
Clostridiaceae bacterium OM08-6BH,,2292274.3
Clostridiaceae bacterium TF01-6,,2305245.3
Clostridiales Family XIII bacterium,,2137877.3
Clostridiales bacterium,,1898207.38
Clostridiales bacterium 1_7_47FAA,,457421.5
Clostridiales bacterium 36_14,,1897042.3
Clostridiales bacterium 41_12_two_minus,,1897043.3
Clostridiales bacterium 41_21_two_genomes,,1897044.3
Clostridiales bacterium 42_27,,1897045.3
Clostridiales bacterium 44_9,,1897046.3
Clostridiales bacterium 45_37,,1897047.3
Clostridiales bacterium 52_15,,1897048.3
Clostridiales bacterium 59_14,,1897049.3
Clostridiales bacterium AF36-10,,2292883.3
Clostridiales bacterium AM23-16LB,,2306574.3
Clostridiales bacterium CCNA10,,2109688.3
Clostridiales bacterium Choco116,,2109689.3
Clostridiales bacterium KA00134,,1588750.4
Clostridiales bacterium KA00274,,1497955.4
Clostridiales bacterium KLE1615,,1715004.4
Clostridiales bacterium LMAG,,1969558.3
Clostridiales bacterium Marseille-P2986,,1852391.3
Clostridiales bacterium Nov_37_41,,1897050.3
Clostridiales bacterium S5-A14a,,1230734.3
Clostridiales bacterium TF09-2AC,,2302989.3
Clostridiales bacterium VE202-01,,1232438.3
Clostridiales bacterium VE202-03,,1232439.3
Clostridiales bacterium VE202-06,,1232442.3
Clostridiales bacterium VE202-07,,1232448.3
Clostridiales bacterium VE202-08,,1232449.3
Clostridiales bacterium VE202-09,,1232447.3
Clostridiales bacterium VE202-13,,1232443.3
Clostridiales bacterium VE202-14,,1232452.3
Clostridiales bacterium VE202-15,,1232444.3
Clostridiales bacterium VE202-16,,1232445.3
Clostridiales bacterium VE202-18,,1232446.3
Clostridiales bacterium VE202-21,,1232453.3
Clostridiales bacterium VE202-26,,1232454.3
Clostridiales bacterium VE202-27,,1232457.3
Clostridiales bacterium VE202-28,,1232460.3
Clostridiales bacterium VE202-29,,1232458.3
Clostridiales bacterium oral taxon 876,,1321778.3
Clostridiales genomosp. BVAB1,,699240.3
Clostridioides difficile,Clostridioides,1121308.9
Clostridium argentinense,Clostridium,1418104.5
Clostridium baratii,Clostridium,1415775.7
Clostridium bartlettii CAG,Clostridium,1263063.3
Clostridium beijerinckii,Clostridium,1520.345
Clostridium bolteae CAG,Clostridium,1263064.3
Clostridium botulinum,Clostridium,1491.356
Clostridium butyricum,Clostridium,997898.4
Clostridium cadaveris,Clostridium,1529.8
Clostridium celatum,Clostridium,545697.3
Clostridium clostridioforme CAG,Clostridium,1263065.3
Clostridium haemolyticum,Clostridium,84025.5
Clostridium hathewayi CAG,Clostridium,1263067.3
Clostridium leptum CAG,Clostridium,1263068.3
Clostridium massiliodielmoense,Clostridium,1776385.3
Clostridium merdae,Clostridium,1958780.3
Clostridium neonatale,Clostridium,137838.6
Clostridium nexile CAG,Clostridium,1263069.3
Clostridium novyi,Clostridium,1443121.3
Clostridium paraputrificum,Clostridium,29363.58
Clostridium perfringens,Clostridium,1502.208
Clostridium senegalense,Clostridium,1033737.3
Clostridium septicum,Clostridium,1504.11
Clostridium sp.,Clostridium,1506.21
Clostridium sp. 1001175st1 A10,Clostridium,2559709.3
Clostridium sp. 1001271st1 H5,Clostridium,2559708.3
Clostridium sp. 26_21,Clostridium,1896977.3
Clostridium sp. 26_22,Clostridium,1896978.3
Clostridium sp. 27_14,Clostridium,1896979.3
Clostridium sp. 28_12,Clostridium,1896980.3
Clostridium sp. 28_17,Clostridium,1896981.3
Clostridium sp. 29_15,Clostridium,1896982.3
Clostridium sp. 42_12,Clostridium,1896983.3
Clostridium sp. 44_14,Clostridium,1896984.3
Clostridium sp. 7_2_43FAA,Clostridium,457396.3
Clostridium sp. A254.MGS-251,Clostridium,1637498.3
Clostridium sp. AF02-29,Clostridium,2292993.3
Clostridium sp. AF12-19,Clostridium,2292200.3
Clostridium sp. AF12-28,Clostridium,2292201.3
Clostridium sp. AF12-41,Clostridium,2292994.3
Clostridium sp. AF15-17LB,Clostridium,2292202.3
Clostridium sp. AF15-31,Clostridium,2292995.3
Clostridium sp. AF15-41,Clostridium,2292996.3
Clostridium sp. AF15-49,Clostridium,2292997.3
Clostridium sp. AF15-6B,Clostridium,2292998.3
Clostridium sp. AF16-25,Clostridium,2292999.3
Clostridium sp. AF17-2,Clostridium,2293000.3
Clostridium sp. AF17-21AC,Clostridium,2293001.3
Clostridium sp. AF18-27,Clostridium,2292203.3
Clostridium sp. AF19-22AC,Clostridium,2292204.3
Clostridium sp. AF20-17LB,Clostridium,2292205.3
Clostridium sp. AF20-7,Clostridium,2293002.3
Clostridium sp. AF21-20LB,Clostridium,2293003.3
Clostridium sp. AF22-10,Clostridium,2293004.3
Clostridium sp. AF23-6LB,Clostridium,2293005.3
Clostridium sp. AF23-8,Clostridium,2293006.3
Clostridium sp. AF24-2LB,Clostridium,2293007.3
Clostridium sp. AF27-2AA,Clostridium,2292206.3
Clostridium sp. AF27-5AA,Clostridium,2293008.3
Clostridium sp. AF28-12,Clostridium,2305241.3
Clostridium sp. AF29-8BH,Clostridium,2293009.3
Clostridium sp. AF32-12BH,Clostridium,2292006.3
Clostridium sp. AF32-7AC,Clostridium,2293010.3
Clostridium sp. AF34-10BH,Clostridium,2293011.3
Clostridium sp. AF34-13,Clostridium,2293012.3
Clostridium sp. AF35-15,Clostridium,2293013.3
Clostridium sp. AF36-18BH,Clostridium,2293014.3
Clostridium sp. AF36-4,Clostridium,2293015.3
Clostridium sp. AF37-5,Clostridium,2293016.3
Clostridium sp. AF37-5AT,Clostridium,2292007.3
Clostridium sp. AF37-7,Clostridium,2293017.3
Clostridium sp. AF43-10,Clostridium,2293018.3
Clostridium sp. AF46-12NS,Clostridium,2293019.3
Clostridium sp. AF46-9NS,Clostridium,2293020.3
Clostridium sp. AF50-3,Clostridium,2293021.3
Clostridium sp. AM09-51,Clostridium,2293022.3
Clostridium sp. AM16-23,Clostridium,2292008.3
Clostridium sp. AM18-55,Clostridium,2293023.3
Clostridium sp. AM22-11AC,Clostridium,2293024.3
Clostridium sp. AM22-16AC,Clostridium,2292009.3
Clostridium sp. AM25-23AC,Clostridium,2305240.3
Clostridium sp. AM27-28,Clostridium,2293025.3
Clostridium sp. AM27-31LB,Clostridium,2293026.3
Clostridium sp. AM28-20LB,Clostridium,2293027.3
Clostridium sp. AM29-11AC,Clostridium,2293028.3
Clostridium sp. AM30-24,Clostridium,2292303.3
Clostridium sp. AM32-2,Clostridium,2293029.3
Clostridium sp. AM33-3,Clostridium,2292304.3
Clostridium sp. AM34-11AC,Clostridium,2305242.3
Clostridium sp. AM34-9AC,Clostridium,2293030.3
Clostridium sp. AM42-36,Clostridium,2293031.3
Clostridium sp. AM42-4,Clostridium,2292305.3
Clostridium sp. AM43-3BH,Clostridium,2293032.3
Clostridium sp. AM45-5,Clostridium,2292306.3
Clostridium sp. AM46-21,Clostridium,2293033.3
Clostridium sp. AM48-13,Clostridium,2293034.3
Clostridium sp. AM49-4BH,Clostridium,2293035.3
Clostridium sp. AM51-4,Clostridium,2293036.3
Clostridium sp. AM54-14XD,Clostridium,2293037.3
Clostridium sp. AM54-37XD,Clostridium,2293038.4
Clostridium sp. AM58-1XD,Clostridium,2292307.3
Clostridium sp. ATCC 29733,Clostridium,1507.3
Clostridium sp. ATCC BAA-442,Clostridium,649724.3
Clostridium sp. BIOML-A1,Clostridium,2584627.3
Clostridium sp. BL8,Clostridium,1354301.3
Clostridium sp. BSD2780061688st1 E8,Clostridium,2559704.3
Clostridium sp. BSD2780061688st1 H5,Clostridium,2559705.3
Clostridium sp. CAG,Clostridium,1262768.3
Clostridium sp. CAG_433_25_7,Clostridium,1896991.3
Clostridium sp. D5,Clostridium,556261.3
Clostridium sp. HGF2,Clostridium,908340.3
Clostridium sp. HMSC19A10,Clostridium,1581148.4
Clostridium sp. HMSC19A11,Clostridium,1581179.6
Clostridium sp. HMSC19B01,Clostridium,1581180.3
Clostridium sp. HMSC19B04,Clostridium,1581181.3
Clostridium sp. HMSC19B10,Clostridium,1581182.3
Clostridium sp. HMSC19B11,Clostridium,1581183.4
Clostridium sp. HMSC19B12,Clostridium,1581184.3
Clostridium sp. HMSC19C05,Clostridium,1581185.3
Clostridium sp. HMSC19C08,Clostridium,1581186.3
Clostridium sp. HMSC19C09,Clostridium,1581187.3
Clostridium sp. HMSC19C11,Clostridium,1581188.3
Clostridium sp. HMSC19D02,Clostridium,1581189.3
Clostridium sp. HMSC19D07,Clostridium,1581191.4
Clostridium sp. HMSC19E03,Clostridium,1581192.3
Clostridium sp. HMb25,Clostridium,2044259.3
Clostridium sp. K4410.MGS-306,Clostridium,1637501.3
Clostridium sp. KLE 1755,Clostridium,1226325.3
Clostridium sp. L2-50,Clostridium,411489.7
Clostridium sp. LMAG,Clostridium,1969568.3
Clostridium sp. M62/1,Clostridium,411486.3
Clostridium sp. OF03-18AA,Clostridium,2292308.3
Clostridium sp. OF09-10,Clostridium,2292309.3
Clostridium sp. OF09-36,Clostridium,2292310.3
Clostridium sp. OF10-22XD,Clostridium,2293039.3
Clostridium sp. OF13-4,Clostridium,2293040.3
Clostridium sp. OM02-18AC,Clostridium,2292311.3
Clostridium sp. OM04-12AA,Clostridium,2293041.3
Clostridium sp. OM04-7,Clostridium,2293042.3
Clostridium sp. OM05-5BH,Clostridium,2293043.3
Clostridium sp. OM05-6BH,Clostridium,2293044.3
Clostridium sp. OM05-9,Clostridium,2293045.3
Clostridium sp. OM05-9BH,Clostridium,2293046.3
Clostridium sp. OM07-10AC,Clostridium,2293047.3
Clostridium sp. OM07-9AC,Clostridium,2293048.3
Clostridium sp. OM08-29,Clostridium,2293049.3
Clostridium sp. SS2/1,Clostridium,411484.7
Clostridium sp. TF01-11,Clostridium,2293050.3
Clostridium sp. TF06-15AC,Clostridium,2293051.3
Clostridium sp. TF08-15,Clostridium,2293052.3
Clostridium sp. TF11-13AC,Clostridium,2293053.3
Clostridium sp. TM06-18,Clostridium,2293054.3
Clostridium sp. UNK.MGS-6,Clostridium,1638787.3
Clostridium sp. VE202-10,Clostridium,1232450.3
Clostridium sp. chh4-2,Clostridium,2067550.5
Clostridium sporogenes,Clostridium,471871.7
Clostridium tertium,Clostridium,1559.9
Clostridium tetani,Clostridium,1513.27
Cohnella sp. 6021052837,Cohnella,1816691.3
Collinsella aerofaciens,Collinsella,411903.6
Collinsella bouchesdurhonensis,Collinsella,1907654.19
Collinsella intestinalis,Collinsella,521003.7
Collinsella sp.,Collinsella,1965294.24
Collinsella sp. 60_9,Collinsella,1896993.3
Collinsella sp. AF02-46-1,Collinsella,2292207.3
Collinsella sp. AF04-24,Collinsella,2292208.3
Collinsella sp. AF05-8-2,Collinsella,2292209.3
Collinsella sp. AF05-9,Collinsella,2292210.3
Collinsella sp. AF08-23,Collinsella,2292211.3
Collinsella sp. AF11-11,Collinsella,2292212.3
Collinsella sp. AF14-35,Collinsella,2292213.3
Collinsella sp. AF15-51,Collinsella,2292214.3
Collinsella sp. AF16-8,Collinsella,2292215.3
Collinsella sp. AF18-33LB,Collinsella,2292216.3
Collinsella sp. AF18-8,Collinsella,2292217.3
Collinsella sp. AF18-8LB,Collinsella,2292218.3
Collinsella sp. AF19-1LB,Collinsella,2292219.3
Collinsella sp. AF19-7AC,Collinsella,2292220.3
Collinsella sp. AF20-14LB,Collinsella,2292221.3
Collinsella sp. AF23-2,Collinsella,2292222.3
Collinsella sp. AF23-3LB,Collinsella,2292223.3
Collinsella sp. AF23-4AC,Collinsella,2292224.3
Collinsella sp. AF23-6,Collinsella,2292225.3
Collinsella sp. AF25-2LB,Collinsella,2292226.3
Collinsella sp. AF28-5AC,Collinsella,2292227.3
Collinsella sp. AF29-7AC,Collinsella,2292010.3
Collinsella sp. AF31-11,Collinsella,2292011.3
Collinsella sp. AF33-16,Collinsella,2292012.3
Collinsella sp. AF36-3AT,Collinsella,2292013.3
Collinsella sp. AF37-9,Collinsella,2292014.3
Collinsella sp. AF38-3AC,Collinsella,2292015.3
Collinsella sp. AF39-11AT,Collinsella,2292016.3
Collinsella sp. AM09-41,Collinsella,2292017.3
Collinsella sp. AM10-11,Collinsella,2292018.3
Collinsella sp. AM10-26,Collinsella,2292019.3
Collinsella sp. AM10-27,Collinsella,2292020.3
Collinsella sp. AM10-32,Collinsella,2292021.3
Collinsella sp. AM10-48,Collinsella,2292022.3
Collinsella sp. AM12-1,Collinsella,2292023.3
Collinsella sp. AM13-34,Collinsella,2292024.3
Collinsella sp. AM15-2,Collinsella,2292025.3
Collinsella sp. AM16-21,Collinsella,2292026.3
Collinsella sp. AM17-1,Collinsella,2292027.3
Collinsella sp. AM18-10,Collinsella,2292028.3
Collinsella sp. AM20-15AC,Collinsella,2292029.3
Collinsella sp. AM23-17,Collinsella,2292030.3
Collinsella sp. AM24-1,Collinsella,2292031.3
Collinsella sp. AM28-11LB,Collinsella,2292312.3
Collinsella sp. AM29-10AC,Collinsella,2292313.3
Collinsella sp. AM31-2AC,Collinsella,2292314.3
Collinsella sp. AM33-4BH,Collinsella,2292315.3
Collinsella sp. AM34-10,Collinsella,2292316.3
Collinsella sp. AM36-4AA,Collinsella,2292317.3
Collinsella sp. AM38-1BH,Collinsella,2292318.3
Collinsella sp. AM40-7AC,Collinsella,2292319.3
Collinsella sp. AM41-2BH,Collinsella,2292320.3
Collinsella sp. AM42-18AC,Collinsella,2292321.3
Collinsella sp. AM43-1,Collinsella,2292322.3
Collinsella sp. AM44-11,Collinsella,2292323.3
Collinsella sp. BIOML-A1,Collinsella,2584628.3
Collinsella sp. BIOML-A2,Collinsella,2584629.3
Collinsella sp. BIOML-A3,Collinsella,2584630.3
Collinsella sp. BIOML-A4,Collinsella,2584631.3
Collinsella sp. BIOML-A5,Collinsella,2584632.3
Collinsella sp. BIOML-A6,Collinsella,2584633.3
Collinsella sp. CAG,Collinsella,1262850.3
Collinsella sp. OF02-10,Collinsella,2292324.3
Collinsella sp. OF03-4AA,Collinsella,2292325.3
Collinsella sp. OM04-5,Collinsella,2292326.3
Collinsella sp. OM06-18AC,Collinsella,2292327.3
Collinsella sp. OM07-12,Collinsella,2292328.3
Collinsella sp. OM08-14AT,Collinsella,2292329.3
Collinsella sp. TF05-9AC,Collinsella,2292330.3
Collinsella sp. TF06-26,Collinsella,2018038.3
Collinsella sp. TF06-6AC,Collinsella,2292331.3
Collinsella sp. TF07-1,Collinsella,2292332.3
Collinsella sp. TF08-11AT,Collinsella,2292333.3
Collinsella sp. TF09-1AT,Collinsella,2292334.3
Collinsella sp. TF10-11AT,Collinsella,2292335.3
Collinsella sp. TF11-5AC,Collinsella,2292336.3
Collinsella sp. TF12-2AT,Collinsella,2292337.3
Collinsella sp. TM04-29,Collinsella,2292338.3
Collinsella sp. TM04-9,Collinsella,2292339.3
Collinsella sp. TM05-37,Collinsella,2292340.3
Collinsella sp. TM05-38,Collinsella,2292341.3
Collinsella sp. TM06-3,Collinsella,2292342.3
Collinsella sp. TM09-10AT,Collinsella,2292343.3
Collinsella sp. TM10-22,Collinsella,2292344.3
Collinsella stercoris,Collinsella,445975.6
Collinsella tanakaei,Collinsella,626935.3
Collinsella vaginalis,Collinsella,1870987.3
Comamonadaceae bacterium NML00-0135,,2029116.3
Comamonadaceae bacterium NML03-0146,,2029117.3
Comamonadaceae bacterium NML120219,,2029111.3
Comamonadaceae bacterium NML161473,,2478744.3
Comamonadaceae bacterium NML180581,,2478745.3
Comamonadaceae bacterium NML180582,,2478746.3
Comamonadaceae bacterium NML79-0751,,2029112.3
Comamonadaceae bacterium NML91-0035,,2029113.3
Comamonadaceae bacterium NML91-0036,,2029114.3
Comamonadaceae bacterium NML97-0112,,2029115.3
Comamonadaceae bacterium NML970147,,1076744.3
Comamonas kerstersii,Comamonas,225992.5
Comamonas testosteroni,Comamonas,285.85
Coprobacillus cateniformis,Coprobacillus,100884.5
Coprobacillus sp.,Coprobacillus,2137881.3
Coprobacillus sp. 28_7,Coprobacillus,1896994.3
Coprobacillus sp. 29_1,Coprobacillus,469596.3
Coprobacillus sp. AF02-13,Coprobacillus,2293056.3
Coprobacillus sp. AF09-1A,Coprobacillus,2293057.3
Coprobacillus sp. AF13-15,Coprobacillus,2293058.3
Coprobacillus sp. AF13-25,Coprobacillus,2293059.3
Coprobacillus sp. AF13-4LB,Coprobacillus,2293060.3
Coprobacillus sp. AF15-30,Coprobacillus,2293061.3
Coprobacillus sp. AF16-47,Coprobacillus,2293062.3
Coprobacillus sp. AF17-11AC,Coprobacillus,2293063.3
Coprobacillus sp. AF17-17AC,Coprobacillus,2293064.3
Coprobacillus sp. AF18-15LB,Coprobacillus,2292228.3
Coprobacillus sp. AF18-40,Coprobacillus,2292229.3
Coprobacillus sp. AF19-3,Coprobacillus,2293065.3
Coprobacillus sp. AF21-8LB,Coprobacillus,2292230.3
Coprobacillus sp. AF24-1LB,Coprobacillus,2293066.3
Coprobacillus sp. AF27-24BH,Coprobacillus,2293067.3
Coprobacillus sp. AF29-3BH,Coprobacillus,2293068.3
Coprobacillus sp. AF31-1BH,Coprobacillus,2293069.3
Coprobacillus sp. AF33-1AC,Coprobacillus,2292032.3
Coprobacillus sp. AF34-1BH,Coprobacillus,2292033.3
Coprobacillus sp. AF35-8,Coprobacillus,2293070.3
Coprobacillus sp. AF36-10BH,Coprobacillus,2293071.3
Coprobacillus sp. AF37-2,Coprobacillus,2293072.3
Coprobacillus sp. AM09-26,Coprobacillus,2293073.3
Coprobacillus sp. AM17-34,Coprobacillus,2293074.3
Coprobacillus sp. AM18-4LB-d2,Coprobacillus,2292034.3
Coprobacillus sp. AM23-2,Coprobacillus,2293075.3
Coprobacillus sp. AM23-9LB,Coprobacillus,2293076.3
Coprobacillus sp. AM26-5AC,Coprobacillus,2293077.3
Coprobacillus sp. AM28-15LB,Coprobacillus,2293078.3
Coprobacillus sp. AM29-13,Coprobacillus,2293079.3
Coprobacillus sp. AM32-11LB,Coprobacillus,2293080.3
Coprobacillus sp. AM37-9BH,Coprobacillus,2293081.3
Coprobacillus sp. AM42-12AC,Coprobacillus,2292345.3
Coprobacillus sp. BIOML-A1,Coprobacillus,2584634.3
Coprobacillus sp. CAG,Coprobacillus,1262853.3
Coprobacillus sp. D7,Coprobacillus,556270.3
Coprobacillus sp. OF02-11LB,Coprobacillus,2293082.3
Coprobacillus sp. OF03-2AA,Coprobacillus,2293083.3
Coprobacillus sp. OM08-19,Coprobacillus,2293084.3
Coprobacillus sp. TF10-10,Coprobacillus,2293085.3
Coprobacillus sp. TM10-10,Coprobacillus,2293086.3
Coprobacter fastidiosus,Coprobacter,1349822.3
Coprobacter secundus,Coprobacter,1572646.3
Coprobacter sp.,Coprobacter,1941478.3
Coprococcus catus,Coprococcus,717962.3
Coprococcus comes,Coprococcus,470146.3
Coprococcus comes CAG,Coprococcus,1263070.3
Coprococcus eutactus,Coprococcus,411474.6
Coprococcus eutactus CAG,Coprococcus,1263071.3
Coprococcus sp.,Coprococcus,2049024.56
Coprococcus sp. 43_8,Coprococcus,1896996.3
Coprococcus sp. AF16-22,Coprococcus,2293087.3
Coprococcus sp. AF16-5,Coprococcus,2293088.3
Coprococcus sp. AF18-48,Coprococcus,2293089.3
Coprococcus sp. AF19-8AC,Coprococcus,2293090.3
Coprococcus sp. AF21-14LB,Coprococcus,2292231.3
Coprococcus sp. AF27-8,Coprococcus,2302946.3
Coprococcus sp. AF38-1,Coprococcus,2302943.3
Coprococcus sp. AM14-16,Coprococcus,2293091.3
Coprococcus sp. AM25-15LB,Coprococcus,2302944.3
Coprococcus sp. AM25-4LB,Coprococcus,2302945.3
Coprococcus sp. AM27-12LB,Coprococcus,2293092.3
Coprococcus sp. ART55/1,Coprococcus,751585.3
Coprococcus sp. BIOML-A1,Coprococcus,2584635.3
Coprococcus sp. BIOML-A2,Coprococcus,2584636.3
Coprococcus sp. CAG,Coprococcus,1262862.3
Coprococcus sp. OM04-5BH,Coprococcus,2293093.3
Coprococcus sp. OM06-25,Coprococcus,2293094.3
Coprococcus sp. OM06-34AC,Coprococcus,2293095.3
Coprococcus sp. TF11-13,Coprococcus,2293096.3
Coraliomargarita sp. CAG,Coraliomargarita,1262865.29
Corallococcus sp. CAG,Corallococcus,1262867.4
Coriobacteriales bacterium DNF00809,,1588753.5
Coriobacteriia bacterium,,2052159.7
Corynebacterium accolens,Corynebacterium,525260.4
Corynebacterium afermentans subsp. afermentans,Corynebacterium,144183.3
Corynebacterium ammoniagenes,Corynebacterium,649754.3
Corynebacterium amycolatum,Corynebacterium,553204.6
Corynebacterium argentoratense,Corynebacterium,1348662.3
Corynebacterium atypicum,Corynebacterium,191610.3
Corynebacterium aurimucosum,Corynebacterium,548476.3
Corynebacterium auriscanis,Corynebacterium,99807.3
Corynebacterium belfantii,Corynebacterium,2014537.5
Corynebacterium bovis,Corynebacterium,36808.11
Corynebacterium canis,Corynebacterium,679663.3
Corynebacterium coyleae,Corynebacterium,53374.10
Corynebacterium diphtheriae,Corynebacterium,1206106.3
Corynebacterium durum,Corynebacterium,1035195.3
Corynebacterium efficiens,Corynebacterium,196164.10
Corynebacterium falsenii,Corynebacterium,1451189.3
Corynebacterium fournierii,Corynebacterium,1852390.3
Corynebacterium freiburgense,Corynebacterium,1121360.3
Corynebacterium freneyi,Corynebacterium,1287475.3
Corynebacterium genitalium,Corynebacterium,585529.3
Corynebacterium glucuronolyticum,Corynebacterium,548478.6
Corynebacterium gottingense,Corynebacterium,2041036.3
Corynebacterium halotolerans,Corynebacterium,225326.4
Corynebacterium imitans,Corynebacterium,156978.3
Corynebacterium jeikeium,Corynebacterium,525262.3
Corynebacterium kroppenstedtii,Corynebacterium,645127.4
Corynebacterium lipophiloflavum,Corynebacterium,525263.3
Corynebacterium lowii,Corynebacterium,1544413.3
Corynebacterium macginleyi,Corynebacterium,38290.5
Corynebacterium massiliense,Corynebacterium,1121364.3
Corynebacterium matruchotii,Corynebacterium,553207.3
Corynebacterium minutissimum,Corynebacterium,38301.3
Corynebacterium oculi,Corynebacterium,1544416.3
Corynebacterium otitidis,Corynebacterium,29321.6
Corynebacterium phoceense,Corynebacterium,1686286.9
Corynebacterium propinquum,Corynebacterium,1121367.3
Corynebacterium pseudodiphtheriticum,Corynebacterium,1381111.3
Corynebacterium pseudogenitalium,Corynebacterium,525264.4
Corynebacterium pseudotuberculosis,Corynebacterium,1719.86
Corynebacterium pyruviciproducens,Corynebacterium,598660.3
Corynebacterium riegelii,Corynebacterium,156976.3
Corynebacterium segmentosum,Corynebacterium,43990.3
Corynebacterium simulans,Corynebacterium,146827.4
Corynebacterium singulare,Corynebacterium,161899.3
Corynebacterium sp.,Corynebacterium,1720.9
Corynebacterium sp. 3010,Corynebacterium,570374.3
Corynebacterium sp. 43075,Corynebacterium,2496112.3
Corynebacterium sp. 58734,Corynebacterium,2496114.3
Corynebacterium sp. CMW7794,Corynebacterium,1603887.3
Corynebacterium sp. DNF00584,Corynebacterium,1384076.3
Corynebacterium sp. HMSC034A01,Corynebacterium,1739295.3
Corynebacterium sp. HMSC034B08,Corynebacterium,1715135.3
Corynebacterium sp. HMSC034E11,Corynebacterium,1715169.3
Corynebacterium sp. HMSC034H07,Corynebacterium,1739512.3
Corynebacterium sp. HMSC035E02,Corynebacterium,1715114.3
Corynebacterium sp. HMSC036D02,Corynebacterium,1715013.3
Corynebacterium sp. HMSC036D03,Corynebacterium,1715171.3
Corynebacterium sp. HMSC036E10,Corynebacterium,1715215.3
Corynebacterium sp. HMSC04H06,Corynebacterium,1581050.4
Corynebacterium sp. HMSC055A01,Corynebacterium,1715083.3
Corynebacterium sp. HMSC055D05,Corynebacterium,1715213.3
Corynebacterium sp. HMSC055G02,Corynebacterium,1715027.3
Corynebacterium sp. HMSC056E09,Corynebacterium,1739416.3
Corynebacterium sp. HMSC056F09,Corynebacterium,1739548.3
Corynebacterium sp. HMSC058E07,Corynebacterium,1715157.3
Corynebacterium sp. HMSC059E07,Corynebacterium,1739471.3
Corynebacterium sp. HMSC05C01,Corynebacterium,1581113.4
Corynebacterium sp. HMSC05D03,Corynebacterium,1581115.4
Corynebacterium sp. HMSC05D08,Corynebacterium,1581116.3
Corynebacterium sp. HMSC05E07,Corynebacterium,1581117.4
Corynebacterium sp. HMSC05H05,Corynebacterium,1581119.4
Corynebacterium sp. HMSC061H03,Corynebacterium,1739291.3
Corynebacterium sp. HMSC062A03,Corynebacterium,1739285.3
Corynebacterium sp. HMSC062E11,Corynebacterium,1739326.3
Corynebacterium sp. HMSC063A05,Corynebacterium,1715130.3
Corynebacterium sp. HMSC063F04,Corynebacterium,1739292.3
Corynebacterium sp. HMSC063G05,Corynebacterium,1739255.3
Corynebacterium sp. HMSC064E07,Corynebacterium,1739545.3
Corynebacterium sp. HMSC064E08,Corynebacterium,1739324.3
Corynebacterium sp. HMSC064E10,Corynebacterium,1739364.3
Corynebacterium sp. HMSC064H12,Corynebacterium,1715160.3
Corynebacterium sp. HMSC065A05,Corynebacterium,1739502.3
Corynebacterium sp. HMSC065D07,Corynebacterium,1739264.3
Corynebacterium sp. HMSC065H09,Corynebacterium,1739382.3
Corynebacterium sp. HMSC066C02,Corynebacterium,1739500.3
Corynebacterium sp. HMSC067D03,Corynebacterium,1739289.3
Corynebacterium sp. HMSC068G04,Corynebacterium,1739497.3
Corynebacterium sp. HMSC068H04,Corynebacterium,1739296.3
Corynebacterium sp. HMSC069E04,Corynebacterium,1739400.3
Corynebacterium sp. HMSC06C06,Corynebacterium,1581121.3
Corynebacterium sp. HMSC06D04,Corynebacterium,1581123.4
Corynebacterium sp. HMSC06G04,Corynebacterium,1581126.3
Corynebacterium sp. HMSC070B05,Corynebacterium,1739464.3
Corynebacterium sp. HMSC070E08,Corynebacterium,1715006.3
Corynebacterium sp. HMSC070H05,Corynebacterium,1715096.3
Corynebacterium sp. HMSC071B10,Corynebacterium,1739494.3
Corynebacterium sp. HMSC071F07,Corynebacterium,1715203.3
Corynebacterium sp. HMSC072A02,Corynebacterium,1715177.3
Corynebacterium sp. HMSC072A04,Corynebacterium,1715045.3
Corynebacterium sp. HMSC072B08,Corynebacterium,1715136.3
Corynebacterium sp. HMSC072B09,Corynebacterium,1739489.3
Corynebacterium sp. HMSC072D01,Corynebacterium,1739403.3
Corynebacterium sp. HMSC072D12,Corynebacterium,1739447.3
Corynebacterium sp. HMSC072G08,Corynebacterium,1715039.3
Corynebacterium sp. HMSC073B01,Corynebacterium,1739353.3
Corynebacterium sp. HMSC073D01,Corynebacterium,1739536.3
Corynebacterium sp. HMSC073H12,Corynebacterium,1715187.3
Corynebacterium sp. HMSC074A01,Corynebacterium,1715030.3
Corynebacterium sp. HMSC074A09,Corynebacterium,1739311.3
Corynebacterium sp. HMSC074C01,Corynebacterium,1739482.3
Corynebacterium sp. HMSC074C03,Corynebacterium,1739351.3
Corynebacterium sp. HMSC074C04,Corynebacterium,1739514.3
Corynebacterium sp. HMSC074C05,Corynebacterium,1739534.3
